time,Ca,Cu,CL_BoNet
13.975,0.005689603,0.496340906,0.002079488
14,0.005690256,0.496397886,0.002083779
14.025,0.005690908,0.49645483,0.002088069
14.05,0.00569156,0.496511738,0.00209236
14.075,0.005692211,0.49656861,0.002096651
14.1,0.005692863,0.496625446,0.002100942
14.125,0.005693513,0.496682248,0.002105233
14.15,0.005694164,0.496739014,0.002109524
14.175,0.005694814,0.496795745,0.002113815
14.2,0.005695463,0.496852442,0.002118106
14.225,0.005696112,0.496909105,0.002122397
14.25,0.005696761,0.496965733,0.002126689
14.275,0.005697409,0.497022328,0.00213098
14.3,0.005698057,0.497078889,0.002135272
14.325,0.005698705,0.497135416,0.002139563
14.35,0.005699352,0.49719191,0.002143855
14.375,0.005699999,0.497248371,0.002148147
14.4,0.005700646,0.497304799,0.002152439
14.425,0.005701292,0.497361194,0.002156731
14.45,0.005701937,0.497417557,0.002161023
14.475,0.005702583,0.497473888,0.002165315
14.5,0.005703228,0.497530186,0.002169608
14.525,0.005703873,0.497586453,0.0021739
14.55,0.005704517,0.497642687,0.002178192
14.575,0.005705161,0.497698891,0.002182485
14.6,0.005705804,0.497755062,0.002186778
14.625,0.005706447,0.497811203,0.00219107
14.65,0.00570709,0.497867312,0.002195363
14.675,0.005707733,0.497923391,0.002199656
14.7,0.005708375,0.497979439,0.002203949
14.725,0.005709017,0.498035456,0.002208242
14.75,0.005709658,0.498091443,0.002212536
14.775,0.005710299,0.4981474,0.002216829
14.8,0.00571094,0.498203326,0.002221122
14.825,0.005711581,0.498259223,0.002225416
14.85,0.005712221,0.49831509,0.002229709
14.875,0.00571286,0.498370927,0.002234003
14.9,0.0057135,0.498426735,0.002238297
14.925,0.005714139,0.498482514,0.00224259
14.95,0.005714778,0.498538263,0.002246884
14.975,0.005715416,0.498593984,0.002251178
15,0.005716054,0.498649675,0.002255472
15.025,0.005716692,0.498705338,0.002259766
15.05,0.005717329,0.498760972,0.002264061
15.075,0.005717966,0.498816578,0.002268355
15.1,0.005718603,0.498872155,0.002272649
15.125,0.00571924,0.498927704,0.002276944
15.15,0.005719876,0.498983225,0.002281238
15.175,0.005720511,0.499038718,0.002285533
15.2,0.005721147,0.499094183,0.002289828
15.225,0.005721782,0.499149621,0.002294123
15.25,0.005722417,0.499205031,0.002298417
15.275,0.005723052,0.499260413,0.002302712
15.3,0.005723686,0.499315768,0.002307007
15.325,0.00572432,0.499371096,0.002311303
15.35,0.005724953,0.499426397,0.002315598
15.375,0.005725587,0.499481671,0.002319893
15.4,0.00572622,0.499536918,0.002324188
15.425,0.005726852,0.499592138,0.002328484
15.45,0.005727485,0.499647332,0.002332779
15.475,0.005728117,0.499702499,0.002337075
15.5,0.005728749,0.499757639,0.002341371
15.525,0.00572938,0.499812753,0.002345666
15.55,0.005730011,0.499867841,0.002349962
15.575,0.005730642,0.499922903,0.002354258
15.6,0.005731273,0.499977939,0.002358554
15.625,0.005731903,0.500032949,0.00236285
15.65,0.005732533,0.500087933,0.002367147
15.675,0.005733163,0.500142891,0.002371443
15.7,0.005733792,0.500197824,0.002375739
15.725,0.005734421,0.500252731,0.002380035
15.75,0.00573505,0.500307613,0.002384332
